Date,BTC,NASDAQ
2017-12-24,10937.56,1047.56
2017-12-25,10475.19,1049.90
2017-12-26,10495.44,1044.38
2017-12-27,12085.76,1042.26
2017-12-28,11838.00,1052.83
2017-12-29,10936.00,1056.36
2017-12-30,10865.82,1047.20
2017-12-31,9545.37,1022.41
2018-01-01,10455.03,1034.94
2018-01-02,10086.62,1031.61
2018-01-03,11019.05,991.93
2018-01-04,11304.09,999.92
2018-01-05,11422.29,1013.26
2018-01-06,12870.06,1009.96
2018-01-07,12918.12,994.31
2018-01-08,12138.06,987.28
2018-01-09,11146.59,1003.37
2018-01-10,10783.13,1009.60
2018-01-11,11078.53,1019.72
2018-01-12,9937.14,1029.53
2018-01-13,10161.24,1032.69
2018-01-14,10465.95,1045.17
2018-01-15,10026.44,1034.71
2018-01-16,10030.52,1042.53
2018-01-17,8284.61,1045.35
2018-01-18,8100.98,1052.21
2018-01-19,8228.21,1058.26
2018-01-20,8411.78,1071.65
2018-01-21,9301.58,1072.95
2018-01-22,8375.16,1084.08
2018-01-23,7827.00,1088.87
2018-01-24,7782.58,1084.93
2018-01-25,8032.70,1093.39
2018-01-26,7955.33,1094.84
2018-01-27,7887.98,1084.45
2018-01-28,8100.02,1089.60
2018-01-29,8307.77,1087.59
2018-01-30,8036.10,1091.39
2018-01-31,7141.59,1085.52
2018-02-01,7210.89,1085.12
2018-02-02,6408.89,1100.17
2018-02-03,6269.21,1118.60
2018-02-04,6498.37,1116.53
2018-02-05,5861.47,1114.13
2018-02-06,5057.56,1109.60
2018-02-07,5557.10,1102.17
2018-02-08,5503.18,1098.94
2018-02-09,5936.44,1088.91
2018-02-10,6302.91,1084.24
2018-02-11,6227.78,1096.89
2018-02-12,5890.20,1092.77
2018-02-13,6446.68,1080.82
2018-02-14,6194.57,1065.00
2018-02-15,6770.12,1078.72
2018-02-16,7186.40,1079.91
2018-02-17,7278.07,1090.87
2018-02-18,7931.12,1092.69
2018-02-19,7520.92,1102.78
2018-02-20,8028.45,1118.02
2018-02-21,8123.58,1110.74
2018-02-22,7664.39,1102.64
2018-02-23,7123.35,1101.82
2018-02-24,7366.77,1104.31
2018-02-25,7014.98,1085.12
2018-02-26,6922.56,1091.34
2018-02-27,7443.89,1091.09
2018-02-28,7687.53,1097.68
2018-03-01,7551.63,1105.77
2018-03-02,7969.65,1107.98
2018-03-03,8042.52,1109.71
2018-03-04,8329.04,1116.05
2018-03-05,8360.45,1106.32
