Date,BTC,Open
2017-12-24,10937.56,15696.83
2017-12-25,10475.19,15895.20
2017-12-26,10495.44,15794.92
2017-12-27,12085.76,15758.98
2017-12-28,11838.00,15722.91
2017-12-29,10936.00,15732.50
2017-12-30,10865.82,15852.14
2017-12-31,9545.37,15547.16
2018-01-01,10455.03,15024.15
2018-01-02,10086.62,15095.72
2018-01-03,11019.05,14751.78
2018-01-04,11304.09,14919.26
2018-01-05,11422.29,15263.10
2018-01-06,12870.06,15245.04
2018-01-07,12918.12,14708.02
2018-01-08,12138.06,14681.83
2018-01-09,11146.59,14582.22
2018-01-10,10783.13,14462.85
2018-01-11,11078.53,14046.22
2018-01-12,9937.14,13481.50
2018-01-13,10161.24,13610.87
2018-01-14,10465.95,13871.77
2018-01-15,10026.44,13710.99
2018-01-16,10030.52,13436.71
2018-01-17,8284.61,13812.19
2018-01-18,8100.98,14277.43
2018-01-19,8228.21,14494.47
2018-01-20,8411.78,14045.83
2018-01-21,9301.58,13958.48
2018-01-22,8375.16,14118.79
2018-01-23,7827.00,13984.43
2018-01-24,7782.58,14368.16
2018-01-25,8032.70,14228.68
2018-01-26,7955.33,14213.62
2018-01-27,7887.98,13768.97
2018-01-28,8100.02,13997.18
2018-01-29,8307.77,14038.92
2018-01-30,8036.10,14004.19
2018-01-31,7141.59,13735.40
2018-02-01,7210.89,13424.36
2018-02-02,6408.89,13511.75
2018-02-03,6269.21,12587.88
2018-02-04,6498.37,13485.26
2018-02-05,5861.47,13570.83
2018-02-06,5057.56,13716.70
2018-02-07,5557.10,13597.53
2018-02-08,5503.18,13837.59
2018-02-09,5936.44,13455.23
2018-02-10,6302.91,13328.36
2018-02-11,6227.78,12800.04
2018-02-12,5890.20,13113.70
2018-02-13,6446.68,13098.35
2018-02-14,6194.57,13229.77
2018-02-15,6770.12,12795.12
2018-02-16,7186.40,12685.23
2018-02-17,7278.07,13119.37
2018-02-18,7931.12,13360.72
2018-02-19,7520.92,13564.63
2018-02-20,8028.45,13860.39
2018-02-21,8123.58,13866.43
2018-02-22,7664.39,13990.35
2018-02-23,7123.35,14001.32
2018-02-24,7366.77,14194.72
2018-02-25,7014.98,14177.21
2018-02-26,6922.56,14500.39
2018-02-27,7443.89,14558.59
2018-02-28,7687.53,14444.78
2018-03-01,7551.63,14269.53
2018-03-02,7969.65,14304.35
2018-03-03,8042.52,14490.26
2018-03-04,8329.04,14002.58
2018-03-05,8360.45,13861.49
2018-03-06,8304.52,13830.47
2018-03-07,7773.15,13547.29
2018-03-08,7158.28,13584.69
2018-03-09,6820.76,13373.12
2018-03-10,6750.84,13647.43
2018-03-11,6391.44,13319.39
2018-03-12,6931.02,13312.44
2018-03-13,6597.41,13665.38
2018-03-14,6596.03,13623.70
2018-03-15,5935.11,13168.80
2018-03-16,5972.24,12749.17
2018-03-17,5965.95,12918.04
2018-03-18,5656.69,12500.88
2018-03-19,5984.45,12712.86
2018-03-20,6146.81,12710.42
2018-03-21,6382.09,12331.69
2018-03-22,6321.65,12511.46
2018-03-23,6191.53,12574.73
2018-03-24,6298.25,12787.52
2018-03-25,6093.68,12246.83
2018-03-26,6007.68,11923.03
2018-03-27,5760.04,11900.34
2018-03-28,5528.63,11645.57
2018-03-29,5666.95,11199.25
2018-03-30,5114.06,11555.97
2018-03-31,4921.09,11727.14
2018-04-01,5000.04,11905.57
2018-04-02,4876.65,11790.68
2018-04-03,5056.79,11364.40
2018-04-04,5300.64,11542.67
2018-04-05,4861.68,11396.28
2018-04-06,4866.80,11326.44
2018-04-07,4705.49,11225.03
2018-04-08,4910.92,11409.84
2018-04-09,4999.52,11869.69
2018-04-10,4808.89,12137.54
2018-04-11,4826.14,12176.89
2018-04-12,4902.64,11945.57
2018-04-13,5548.91,12097.12
2018-04-14,5529.96,12200.33
2018-04-15,5617.51,11925.81
2018-04-16,5853.39,12147.28
2018-04-17,5629.56,12016.47
2018-04-18,5557.49,11543.88
2018-04-19,5745.56,10986.85
2018-04-20,5884.73,10897.43
2018-04-21,6318.31,10968.40
2018-04-22,6372.77,10806.02
2018-04-23,6281.26,10697.55
2018-04-24,6411.44,10974.05
2018-04-25,6932.77,10941.95
2018-04-26,6364.26,11137.68
2018-04-27,6675.74,11351.31
2018-04-28,6484.78,11661.02
2018-04-29,6780.13,11542.24
2018-04-30,6846.89,11160.22
2018-05-01,6717.59,11048.25
2018-05-02,6691.11,11006.83
2018-05-03,6804.69,10964.18
2018-05-04,7144.80,11337.90
2018-05-05,7167.34,11422.60
2018-05-06,7274.50,11503.61
2018-05-07,7128.57,11524.49
2018-05-08,6914.99,11420.89
2018-05-09,6806.18,11056.55
2018-05-10,6886.18,11151.21
