Country ,Crypto,Status
United States,Yes,Development
India,Yes,Pilot 
Vietnam,Yes,Research
China,Yes,Pilot 
Ukraine,Yes,Pilot 
Kenya,No,Research
Pakistan,Yes,Research
Nigeria,Yes,Launched
Russia,Yes,Pilot 
Venezuela,Yes,Development
Brazil,Yes,Development
Colombia,Yes,Research
Thailand,Yes,Pilot 
Phillipines,Yes,Development
South Africa,Yes,Pilot 
Argentina,No,Inactive
United Kingdom,Yes,Development
Turkey,Yes,Development
Indonesia,Yes,Development
Ghana,Yes,Pilot 
Togo,No,N/A
South Korea,Yes,Pilot 
Peru ,Yes,Research
Tanzania,Yes,Research
France,Yes,Development
Malaysia,Yes,Pilot 
Canada,Yes,Development
Bangladesh,Yes,Development
Morocco,Yes,Research
Cameroon,No,N/A
Mexico,Yes,Research
Germany,Yes,Development
Belarus,Yes,Research
Australia,Yes,Pilot 
Poland,No,N/A
Ecuador,No,Cancelled
Netherlands,Yes,Development
Spain,Yes,Development
Afghanistan,No,N/A
Hong Kong,Yes,Pilot 
Nepal,Yes,Research
Iran,Yes,Pilot 
Chile,Yes,Research
Bulgaria,No,N/A
Mozambique,No,N/A
Japan,Yes,Development
Benin,No,Inactive
Egypt,No,Inactive
Italy,Yes,Development
Zambia,No,N/A
Cambodia,No,N/A
Democratic Rep. of Congo,No,N/A
Portugal,No,N/A
Georgia,Yes,Research
Bolivia,No,N/A
Czech Republic,Yes,Research
Dominican Republic,Yes,Launched
Romania,No,N/A
Uganda,Yes,Research
Slovakia,No,N/A
Sri Lanka,No,N/A
Belgium,No,N/A
Ivory Coast,No,N/A
Rwanda,Yes,Research
Latvia,No,N/A
Singapore,Yes,Pilot 
Moldova,No,N/A
Sweden,Yes,Pilot 
Serbia,No,N/A
Switzerland,Yes,Development
Honduras,Yes,Research
Zimbabwe,Yes,Research
Mauritius,Yes,Development
Algeria,No,N/A
Madagascar,Yes,Research
Greece,No,N/A
Jamaica,Yes,Launched
Costa Rica,No,Inactive
Lebanon,No,Inactive
Estonia,Yes,Development
Tunisia ,Yes,Development
Slovenia,No,N/A
Lithuania,Yes,Development
El Salvador,No,N/A
Panama,No,N/A
Finland,Yes,Development
Uzbekistan,No,N/A
Guatemala,Yes,Research
Austria,Yes,Development
Senegal,No,Cancelled
Kyrgyzstan,No,N/A
Norway,Yes,Development
Kazakhstan,Yes,Pilot 
Namibia,Yes,Research
Croatia,No,N/A
Angola,No,N/A
Mali,No,N/A
Ethiopia,No,N/A
New Zealand,Yes,Research
United Arab Emirates,Yes,Pilot 
Saudi Arabia,Yes,Pilot 
Hungary,Yes,Research
Uruguay,No,Inactive
Malawi,No,N/A
Israel,Yes,Development
Jordan,Yes,Research
Albania,No,N/A
Laos,Yes,Research
Botswana,No,N/A
Cyprus,No,N/A
Syria,No,N/A
Myanmar,Yes,Research
Nicaragua,No,N/A
Barbados,No,N/A
Azerbaijan,Yes,Research
Denmark,No,Inactive
Bosnia and Herzegovina,No,N/A
Mongolia,No,N/A
Iraq,No,N/A
Monaco,No,N/A
Armenia,No,N/A
Ireland,Yes,Development
Trinidad and Tobago,Yes,Research
Haití,Yes,Development
Libya,No,N/A
Paraguay,Yes,Research
Montenegro,No,N/A
Puerto Rico,No,N/A
Malta,No,N/A
North Macedonia,No,N/A
Seychelles,No,N/A
Burkina Faso,No,N/A
Bahamas,Yes,Launched
Belize,Yes,Development
Kuwait,No,Inactive
Oman,Yes,Research
Papua New Guinea,No,N/A
Fiji,Yes,Research
Maldives,No,N/A
Qatar,Yes,Research
Luxembourg,No,N/A
French Polynesia,No,N/A
Tajikistan,No ,N/A
Suriname,No,N/A
Bahrain,Yes,Development
Cuba,No,N/A
Gabon,No,N/A
Turkmenistan,No,N/A
Iceland,No,Inactive
Guyana,No,N/A
Macao,Yes,Development
Cabo Verde,No,N/A
New Caledonia,No,N/A
Brunei Darussalam,No,N/A
"Virgin Islands , U.S.",No,N/A
Cayman Islands,No,N/A
Bermuda,No,Inactive
