id,symbol,name,price,market_cap,market_cap_dominance
BTC,BTC,Bitcoin,16721.42334956,321912581943,0.3839
ETH,ETH,Ethereum,1217.28273733,148963594848,0.1776
USDT,USDT,Tether,1.00141522,66357491422,0.0791
USDC,USDC,USD Coin,1.00265530,44295168655,0.0528
BNB,BNB,Binance Coin,246.44953668,40239534748,0.0480
XRP,XRP,XRP,0.34405522,17396728037,0.0207
BUSD,BUSD,Binance USD,1.00298841,16650770615,0.0199
DOGE,DOGE,Dogecoin,0.070554904,9706626635,0.0116
ADA,ADA,Cardano,0.25289230,8567212768,0.0102
OKB,OKB,OKB,28.41519790,7150048379,0.0085
MATIC,MATIC,Polygon,0.78129762,7004699614,0.0084
STETH,STETH,Liquid Staked Ether,1201.85369844,5824829556,0.0069
LTC,LTC,Litecoin,75.76173919,5452949908,0.0065
DOT,DOT,Polkadot,4.52766594,5378609751,0.0064
DAI,DAI,Dai,1.00329670,5077083801,0.0061
TRX,TRX,TRON,0.054819790,5040757894,0.0060
SOL,SOL,Solana,13.27735620,4885178087,0.0058
SHIB,SHIB,Shiba Inu,0.0000081521389,4588557457,0.0055
AVAX,AVAX,Avalanche,11.38838814,3548418379,0.0042
TONCOIN,TONCOIN,The Open Network,2.21755560,3267770888,0.0039
LEO,LEO,UNUS SED LEO,3.49851856,3262415918,0.0039
WBTC,WBTC,Wrapped Bitcoin,16687.21793961,3054566731,0.0036
ATOM,ATOM,Cosmos,10.17579750,2977297555,0.0036
LINK,LINK,ChainLink,5.62368999,2856834351,0.0034
XMR,XMR,Monero,148.72387149,2710088122,0.0032
UNI,UNI,Uniswap Protocol Token,5.40020402,2550673832,0.0030
HEX,HEX,HEX,0.017990932,2512871530,0.0030
ETC,ETC,Ethereum Classic,15.89345064,2205715282,0.0026
XLM,XLM,Stellar,0.073769960,1927785354,0.0023
BCH,BCH,Bitcoin Cash,99.78498256,1923246389,0.0023
OP4,OP,Optimism,0.95940299,1604328551,0.0019
QNT,QNT,Quant,107.40745889,1562154572,0.0019
APE7,APE,ApeCoin,4.00793244,1447865593,0.0017
CRO,CRO,Cronos,0.057185608,1444680792,0.0017
ALGO,ALGO,Algorand,0.18393794,1312885218,0.0016
CRI,CRI,Crypto International,0.43242366,1282041952,0.0015
VET,VET,VeChain Thor,0.016104762,1167774729,0.0014
NEAR,NEAR,Near Protocol,1.33571040,1127504343,0.0013
FIL,FIL,Filecoin,3.09409176,1113271368,0.0013
ICP,ICP,Dfinity,3.91549714,1093192456,0.0013
HT,HT,Huobi Token,5.29926851,1080947150,0.0013
FRAX,FRAX,Frax,1.00107665,1019489586,0.0012
EOS,EOS,EOS,0.88119513,1003761082,0.0012
LDO,LDO,Lido DAO,1.19746506,993601404,0.0012
HBAR,HBAR,Hedera Hashgraph,0.038089292,957449712,0.0011
LUNA,LUNC,Terra Luna Classic,0.00015612691,938646375,0.0011
