Country ,Number
United States,44816878
India,97483000
Vietnam,18669973
China,242564879
Ukraine,6018385
Kenya,5634955
Pakistan,24433805
Nigeria,20623813
Russia,13526666
Venezuela,3015636
Brazil,16652150
Colombia,3445267
Thailand,4332129
Phillipines,6986919
South Africa,7509289
Argentina,2400023
United Kingdom,4071420
Turkey,3811882
Indonesia,12237009
Ghana,1391703
Togo,363963
South Korea,2015027
Peru ,1281789
Tanzania,2323874
France,3323292
Malaysia,3089320
Canada,1353665
Bangladesh,5649023
Morocco,1151520
Cameroon,867387
Mexico,3992286
Germany,4751312
Belarus,279371
Australia,796052
Poland,1074607
Ecuador,500783
Netherlands,489849
Spain,1308367
Afghanistan,1039720
Hong Kong,205507
Nepal,791782
Iran,2253091
Chile,498616
Bulgaria,169537
Mozambique,788274
Japan,2882116
Benin,6275000
Egypt,2372936
Italy,1334163
Zambia,424937
Cambodia,382091
Democratic Rep. of Congo,2038909
Portugal,219675
Georgia,79722
Bolivia,250449
Czech Republic,223515
Dominican Republic,221664
Romania,391691
Uganda,984732
Slovakia,109931
Sri Lanka,451508
Belgium,230693
Ivory Coast,546733
Rwanda,262937
Latvia,35324
Singapore,642987
Moldova,48282
Sweden,196948
Serbia,127461
Switzerland,161233
Honduras,172361
Zimbabwe,271307
Mauritius,23208
Algeria,823534
Madagascar,509460
Greece,182307
Jamaica,46526
Costa Rica,88127
Lebanon,130391
Estonia,22343
Tunisia ,202715
Slovenia,34800
Lithuania,44538
El Salvador,108930
Panama,73168
Finland,91968
Uzbekistan,584526
Guatemala,305689
Austria,146399
Senegal,284854
Kyrgyzstan,110070
Norway,87248
Kazakhstan,304651
Namibia,41961
Croatia,61553
Angola,532986
Mali,326290
Ethiopia,1827706
New Zealand,79875
United Arab Emirates,155904
Saudi Arabia,543580
Hungary,143206
Uruguay,52245
Malawi,294542
Israel,141299
Jordan,162504
Albania,40348
Laos,105302
Botswana,34245
Cyprus,12711
Syria,229632
Myanmar,774122
Nicaragua,94998
Barbados,4023
Azerbaijan,143721
Denmark,81465
Bosnia and Herzegovina,48547
Mongolia,48069
Iraq,530914
Monaco,546
Armenia,39619
Ireland,68343
Trinidad and Tobago,18064
Haití,152295
Libya,92310
Paraguay,97110
Montenegro,7973
Puerto Rico,36235
Malta,7100
North Macedonia,26705
Seychelles,1257
Burkina Faso,274255
Bahamas,5360
Belize,5377
Kuwait,79518
Oman,65008
Papua New Guinea,27957
Fiji,10626
Maldives,6943
Qatar,32270
Luxembourg,6766
French Polynesia,2993
Tajikistan,105046
Suriname,6489
Bahrain,19741
Cuba,118772
Gabon,7221
Turkmenistan,63937
Iceland,8016
Guyana,7983
Macao,3921
Cabo Verde,5395
New Caledonia,2983
Brunei Darussalam,5169
"Virgin Islands , U.S.",1032
Cayman Islands,1075
Bermuda,681
