Month,searches
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,7
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,3
2013-11,10
2013-12,12
2014-01,8
2014-02,8
2014-03,6
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,4
2016-07,4
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,5
2017-01,6
2017-02,5
2017-03,7
2017-04,6
2017-05,15
2017-06,14
2017-07,13
2017-08,20
2017-09,21
2017-10,23
2017-11,44
2017-12,100
2018-01,56
2018-02,42
2018-03,23
2018-04,19
2018-05,14
2018-06,14
2018-07,13
2018-08,12
2018-09,11
2018-10,10
2018-11,14
2018-12,13
2019-01,10
2019-02,9
2019-03,8
2019-04,12
2019-05,19
2019-06,20
2019-07,18
2019-08,16
2019-09,13
2019-10,12
2019-11,11
2019-12,10
2020-01,12
2020-02,14
2020-03,20
2020-04,16
2020-05,19
2020-06,14
2020-07,14
2020-08,15
2020-09,13
2020-10,13
2020-11,23
2020-12,31
2021-01,65
2021-02,67
2021-03,48
2021-04,48
2021-05,64
2021-06,47
2021-07,31
2021-08,32
2021-09,30
2021-10,34
2021-11,33
2021-12,34
2022-01,43
2022-02,34
2022-03,29
2022-04,23
2022-05,35
2022-06,40
2022-07,30
2022-08,21
2022-09,22
2022-10,17
2022-11,25
2022-12,17
