Month,searches
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,1
2013-12,1
2014-01,1
2014-02,2
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,2
2017-04,3
2017-05,8
2017-06,15
2017-07,13
2017-08,18
2017-09,20
2017-10,19
2017-11,31
2017-12,92
2018-01,100
2018-02,52
2018-03,30
2018-04,22
2018-05,19
2018-06,16
2018-07,14
2018-08,14
2018-09,14
2018-10,12
2018-11,12
2018-12,10
2019-01,8
2019-02,9
2019-03,8
2019-04,9
2019-05,11
2019-06,14
2019-07,10
2019-08,8
2019-09,8
2019-10,7
2019-11,7
2019-12,6
2020-01,7
2020-02,8
2020-03,10
2020-04,9
2020-05,10
2020-06,8
2020-07,10
2020-08,12
2020-09,10
2020-10,8
2020-11,12
2020-12,16
2021-01,33
2021-02,49
2021-03,30
2021-04,56
2021-05,93
2021-06,42
2021-07,26
2021-08,31
2021-09,30
2021-10,44
2021-11,60
2021-12,36
2022-01,40
2022-02,34
2022-03,25
2022-04,23
2022-05,27
2022-06,20
2022-07,14
2022-08,13
2022-09,13
2022-10,11
2022-11,15
2022-12,12
