Country,Number of crypto owners,Percentage of the population
Togo,363963,4.21%
South Korea,2015027,3.88%
Peru,1281789,3.83%
Tanzania,2323874,3.82%
France,3323292,4.91%
Malaysia,3089320,9.14%
Canada,1353665,3.49%
Bangladesh,5649023,3.30%
Morocco,1151520,3.16%
Cameroon,867387,3.12%
Mexico,3992286,3.07%
Germany,4751312,5.64%
Belarus,279371,2.97%
Australia,796052,2.94%
Poland,1074607,2.83%
Ecuador,500783,2.79%
Netherlands,489849,2.75%
Spain,1308367,2.73%
Afghanistan,1039720,2.65%
Hong Kong,205507,2.65%
United States of America,44816878,13.38%
India,27416309,2.00%
Vietnam,18669973,18.73%
China,242564879,16.23%
Ukraine,6018385,14.52%
Kenya,5634955,10.71%
Pakistan,24433805,10.62%
Nigeria,20623813,9.55%
Russia,13526666,9.33%
Venezuela,3015636,9.02%
Brazil,16652150,7.75%
Colombia,3445267,6.63%
Thailand,4332129,6.47%
Philippines,6986919,6.13%
South Africa,7509289,12.13%
Argentina,2400023,5.18%
United Kingdom,4071420,6.00%
Turkey,3811882,4.50%
Indonesia,12237009,4.45%
Ghana,1391703,4.30%
Togo,363963,4.21%
South Korea,2015027,3.88%
Peru,1281789,3.83%
Tanzania,2323874,3.82%
France,3323292,4.91%
Malaysia,3089320,9.14%
Canada,1353665,3.49%
Bangladesh,5649023,3.30%
Morocco,1151520,3.16%
Cameroon,867387,3.12%
Mexico,3992286,3.07%
Germany,4751312,5.64%
Belarus,279371,2.97%
Australia,796052,2.94%
Poland,1074607,2.83%
Ecuador,500783,2.79%
Netherlands,489849,2.75%
Spain,1308367,2.73%
Afghanistan,1039720,2.65%
Hong Kong,205507,2.65%
Nepal,791782,2.65%
Iran,2253091,2.59%
Chile,498616,2.51%
Bulgaria,169537,2.47%
Mozambique,788274,2.40%
Japan,2882116,5.02%
Benin,6275000,2.29%
Egypt,2372936,2.26%
Italy,1334163,2.26%
Zambia,424937,2.24%
Cambodia,382091,2.22%
Dem. Rep. Congo,2038909,2.15%
Portugal,219675,2.14%
Georgia,79722,2.13%
Bolivia,250449,2.10%
Czech Republic,223515,2.08%
Dominican Republic,221664,2.08%
Romania,391691,2.06%
Uganda,984732,2.01%
Slovakia,109931,2.00%
Sri Lanka,451508,2.00%
Belgium,230693,1.98%
Ivory Coast,546733,1.97%
Rwanda,262937,1.94%
Latvia,35324,1.91%
Singapore,642987,11.05%
Moldova,48282,1.88%
Sweden,196948,1.88%
Serbia,127461,1.86%
Switzerland,161233,1.85%
Honduras,172361,1.80%
Zimbabwe,271307,1.78%
Mauritius,23208,1.77%
Algeria,823534,1.77%
Madagascar,509460,1.76%
Greece,182307,1.71%
Jamaica,46526,1.70%
Costa Rica,88127,1.69%
Lebanon,130391,1.69%
Estonia,22343,1.69%
Tunisia,202715,1.69%
Slovenia,34800,1.68%
Lithuania,44538,1.68%
El Salvador,108930,1.67%
Panama,73168,1.66%
Finland,91968,1.65%
Uzbekistan,584526,1.64%
Guatemala,305689,1.62%
Austria,146399,1.62%
Senegal,284854,1.62%
Kyrgyzstan,110070,1.62%
Norway,87248,1.60%
Kazakhstan,304651,1.59%
Namibia,41961,1.59%
Croatia,61553,1.56%
Angola,532986,1.53%
Mali,326290,1.53%
Ethiopia,1827706,1.52%
New Zealand,79875,1.51%
United Arab Emirates,155904,1.50%
Saudi Arabia,543580,1.48%
Hungary,143206,1.48%
Uruguay,52245,1.47%
Malawi,294542,1.47%
Israel,141299,1.47%
Jordan,162504,1.46%
Albania,40348,1.43%
Laos,105302,1.42%
Botswana,34245,1.42%
Cyprus,12711,1.41%
Syria,229632,1.41%
Myanmar,774122,1.41%
Nicaragua,94998,1.40%
Barbados,4023,1.40%
Azerbaijan,143721,1.40%
Denmark,81465,1.39%
Bosnia and Herzegovina,48547,1.39%
Mongolia,48069,1.38%
Iraq,530914,1.37%
Monaco,546,1.36%
Armenia,39619,1.35%
Ireland,68343,1.35%
Trinidad and Tobago,18064,1.31%
Haiti,152295,1.30%
Libya,92310,1.30%
Paraguay,97110,1.30%
Montenegro,7973,1.29%
Puerto Rico,36235,1.28%
Malta,7100,1.27%
North Macedonia,26705,1.26%
Seychelles,1257,1.26%
Burkina Faso,274255,1.25%
Bahamas,5360,1.25%
Belize,5377,1.22%
Kuwait,79518,1.20%
Oman,65008,1.19%
Papua New Guinea,27957,1.18%
Fiji,10626,1.17%
Maldives,6943,1.16%
Qatar,32270,1.16%
Luxembourg,6766,1.06%
French Polynesia,2993,1.05%
Tajikistan,105046,1.05%
Suriname,6489,1.05%
Bahrain,19741,1.04%
Cuba,118772,1.04%
Gabon,7221,1.03%
Turkmenistan,63937,1.03%
Iceland,8016,1.01%
Guyana,7983,1.01%
Macao,3921,1.01%
Cabo Verde,5395,1.00%
New Caledonia,2983,0.99%
Brunei Darussalam,5169,0.99%
Virgin Islands,1032,0.99%
Cayman Islands,1075,0.98%
Bermuda,681,0.97%
