Week,Cryptoscam,High
2018-01-07,80,17579.599609
2018-01-14,34,16537.900391
2018-01-21,0,14445.500000
2018-01-28,0,12040.299805
2018-02-04,22,11875.599609
2018-02-11,0,9122.549805
2018-02-18,0,11349.799805
2018-02-25,100,11958.500000
2018-03-04,74,11528.200195
2018-03-11,0,11704.099609
2018-03-18,36,9937.500000
2018-03-25,0,9177.370117
2018-04-01,0,8530.080078
2018-04-08,0,7530.939941
2018-04-15,32,8338.419922
2018-04-22,27,9001.639648
2018-04-29,18,9745.320313
2018-05-06,0,9964.500000
2018-05-13,51,9665.849609
2018-05-20,26,8881.120117
2018-05-27,47,8557.519531
2018-06-03,0,7754.890137
2018-06-10,17,7753.819824
2018-06-17,18,6910.180176
2018-06-24,47,6822.500000
2018-07-01,17,6465.509766
2018-07-08,62,6885.910156
2018-07-15,0,6838.680176
2018-07-22,0,7594.669922
2018-07-29,0,8424.269531
2018-08-05,0,8235.500000
2018-08-12,17,7166.549805
2018-08-19,0,6617.350098
2018-08-26,22,6816.790039
2018-09-02,0,7306.310059
2018-09-09,0,7388.430176
2018-09-16,0,6596.100098
2018-09-23,0,6814.560059
2018-09-30,73,6785.029785
2018-10-07,27,6653.299805
2018-10-14,22,6675.060059
2018-10-21,25,6965.060059
2018-10-28,0,6543.799805
2018-11-04,0,6547.140137
2018-11-11,0,6552.160156
2018-11-18,27,6434.209961
2018-11-25,33,5620.779785
2018-12-02,0,4413.020508
2018-12-09,49,4155.979492
2018-12-16,0,3647.332520
2018-12-23,0,4198.429688
2018-12-30,41,4271.792480
2019-01-06,0,4093.297363
2019-01-13,30,4109.020996
2019-01-20,27,3758.533447
2019-01-27,0,3654.933105
2019-02-03,0,3586.750977
2019-02-10,0,3695.614014
2019-02-17,0,3695.613037
2019-02-24,24,4210.641602
2019-03-03,0,3913.707275
2019-03-10,0,3987.237793
2019-03-17,23,4077.036377
2019-03-24,0,4097.359863
2019-03-31,0,4296.806641
2019-04-07,0,5307.003418
2019-04-14,0,5421.651367
2019-04-21,0,5359.924805
2019-04-28,0,5642.044434
2019-05-05,16,5886.893555
2019-05-12,25,7503.872070
2019-05-19,0,8320.824219
2019-05-26,0,8687.520508
2019-06-02,0,9008.314453
2019-06-09,36,8743.500000
2019-06-16,0,9335.867188
2019-06-23,17,11246.144531
2019-06-30,0,13796.489258
2019-07-07,0,12006.075195
2019-07-14,0,13129.529297
2019-07-21,0,11052.766602
2019-07-28,61,10651.791016
2019-08-04,0,11009.207031
2019-08-11,0,12273.821289
2019-08-18,0,11528.189453
2019-08-25,0,10947.041992
2019-09-01,0,10512.328125
2019-09-08,0,10898.761719
2019-09-15,0,10450.311523
2019-09-22,0,10386.867188
2019-09-29,0,10074.238281
2019-10-06,18,8497.692383
2019-10-13,34,8721.780273
2019-10-20,0,8410.714844
2019-10-27,0,10021.744141
2019-11-03,0,9805.118164
2019-11-10,0,9505.051758
2019-11-17,0,9081.279297
