Date,Open
12/19/2022,10707.44
12/16/2022,10767.63
12/15/2022,11012.62
12/14/2022,11248.09
12/13/2022,11542.84
12/12/2022,11015.48
12/09/2022,11038.17
12/08/2022,11011.33
12/07/2022,10963.95
12/06/2022,11228.42
12/05/2022,11380.99
12/02/2022,11308.38
12/01/2022,11475.17
11/30/2022,10995.2
11/29/2022,11060.02
11/28/2022,11147.57
11/25/2022,11231
11/23/2022,11174.61
11/22/2022,11058.56
11/21/2022,11091.01
11/18/2022,11257.01
11/17/2022,11008.67
11/16/2022,11260.1
11/15/2022,11474.82
11/14/2022,11233.9
11/11/2022,11124.75
11/10/2022,10869.17
11/09/2022,10531.64
11/08/2022,10611.53
11/07/2022,10516.94
11/04/2022,10548.14
11/03/2022,10399.45
11/02/2022,10885.01
11/01/2022,11154.74
10/31/2022,11028.43
10/28/2022,10766.2
10/27/2022,10971.95
10/26/2022,10969.02
10/25/2022,10996.97
10/24/2022,10867.07
10/21/2022,10576.04
10/20/2022,10657.41
10/19/2022,10689.31
10/18/2022,10963.99
10/17/2022,10575.65
10/14/2022,10742.81
10/13/2022,10131.82
10/12/2022,10437
10/11/2022,10484.37
10/10/2022,10659.95
10/07/2022,10877.28
10/06/2022,11129.04
10/05/2022,11022.67
10/04/2022,11054.72
10/03/2022,10659.01
09/30/2022,10697.71
09/29/2022,10894.44
09/28/2022,10817.52
09/27/2022,10955.29
09/26/2022,10833.38
09/23/2022,10952.69
09/22/2022,11167.38
09/21/2022,11466.21
09/20/2022,11440.14
09/19/2022,11338.57
09/16/2022,11401.21
09/15/2022,11633.24
09/14/2022,11680.41
09/13/2022,11908.81
09/12/2022,12174.94
09/09/2022,11958.61
09/08/2022,11679.86
09/07/2022,11559.38
09/06/2022,11643.03
09/02/2022,11899.14
09/01/2022,11707.44
08/31/2022,11972.56
08/30/2022,12093.06
08/29/2022,12021.05
08/26/2022,12630.58
08/25/2022,12506.37
08/24/2022,12375.15
08/23/2022,12380.37
08/22/2022,12523.16
08/19/2022,12832.27
08/18/2022,12937.79
08/17/2022,12968.63
08/16/2022,13082.64
08/15/2022,12996.63
08/12/2022,12866.31
08/11/2022,12987.95
08/10/2022,12793.44
08/09/2022,12557.49
08/08/2022,12703.72
08/05/2022,12538.8
08/04/2022,12675.04
08/03/2022,12433.87
08/02/2022,12479.78
08/01/2022,12317.96
07/29/2022,12239.69
07/28/2022,12036.48
07/27/2022,11756.19
07/26/2022,11701.53
07/25/2022,11837.96
07/22/2022,12025.37
07/21/2022,11914.15
07/20/2022,11726.09
07/19/2022,11515
07/18/2022,11561.64
07/15/2022,11379.36
07/14/2022,11151.21
07/13/2022,11056.55
07/12/2022,11420.89
07/11/2022,11524.49
07/08/2022,11503.61
07/07/2022,11422.6
07/06/2022,11337.9
07/05/2022,10964.18
07/01/2022,11006.83
06/30/2022,11048.25
06/29/2022,11160.22
06/28/2022,11542.24
06/27/2022,11661.02
06/24/2022,11351.31
06/23/2022,11137.68
06/22/2022,10941.95
06/21/2022,10974.05
06/17/2022,10697.55
06/16/2022,10806.02
06/15/2022,10968.4
06/14/2022,10897.43
06/13/2022,10986.85
06/10/2022,11543.88
06/09/2022,12016.47
06/08/2022,12147.28
06/07/2022,11925.81
06/06/2022,12200.33
06/03/2022,12097.12
06/02/2022,11945.57
06/01/2022,12176.89
05/31/2022,12137.54
05/27/2022,11869.69
05/26/2022,11409.84
05/25/2022,11225.03
05/24/2022,11326.44
05/23/2022,11395.47
05/20/2022,11542.67
05/19/2022,11364.4
05/18/2022,11790.68
05/17/2022,11887.98
05/16/2022,11727.14
05/13/2022,11555.97
05/12/2022,11199.25
05/11/2022,11645.57
05/10/2022,11900.34
05/09/2022,11923.03
05/06/2022,12246.83
05/05/2022,12787.52
05/04/2022,12574.73
05/03/2022,12511.46
05/02/2022,12331.69
04/29/2022,12710.42
04/28/2022,12712.86
04/27/2022,12500.88
04/26/2022,12918.04
04/25/2022,12749.17
04/22/2022,13168.8
04/21/2022,13623.7
04/20/2022,13665.38
04/19/2022,13312.44
04/18/2022,13319.39
04/14/2022,13647.43
04/13/2022,13373.12
04/12/2022,13584.69
04/11/2022,13547.29
04/08/2022,13830.47
04/07/2022,13861.49
04/06/2022,14002.58
04/05/2022,14262.28
04/04/2022,14304.35
04/01/2022,14269.53
03/31/2022,14444.78
03/30/2022,14558.59
03/29/2022,14500.39
03/28/2022,14177.21
03/25/2022,14194.72
03/24/2022,14001.32
03/23/2022,13990.35
03/22/2022,13866.43
03/21/2022,13860.39
03/18/2022,13564.63
03/17/2022,13360.72
03/16/2022,13119.36
03/15/2022,12685.23
03/14/2022,12795.12
03/11/2022,13229.77
03/10/2022,13098.35
03/09/2022,13113.7
03/08/2022,12800.04
03/07/2022,13328.36
03/04/2022,13455.23
03/03/2022,13837.59
03/02/2022,13597.53
03/01/2022,13716.7
02/28/2022,13570.83
02/25/2022,13485.26
02/24/2022,12587.88
02/23/2022,13511.75
02/22/2022,13424.36
02/18/2022,13735.4
02/17/2022,14004.19
02/16/2022,14038.92
02/15/2022,13997.18
02/14/2022,13768.97
02/11/2022,14213.62
02/10/2022,14228.68
02/09/2022,14368.16
02/08/2022,13984.43
02/07/2022,14118.79
02/04/2022,13958.48
02/03/2022,14045.83
02/02/2022,14494.47
02/01/2022,14277.43
01/31/2022,13812.19
01/28/2022,13436.71
01/27/2022,13710.99
01/26/2022,13871.77
01/25/2022,13610.87
01/24/2022,13481.5
01/21/2022,14046.22
01/20/2022,14462.85
01/19/2022,14582.22
01/18/2022,14681.83
01/14/2022,14708.02
01/13/2022,15245.04
01/12/2022,15263.1
01/11/2022,14919.26
01/10/2022,14751.78
01/07/2022,15095.72
01/06/2022,15024.15
01/05/2022,15547.16
01/04/2022,15852.14
01/03/2022,15732.5
12/31/2021,15722.91
12/30/2021,15758.98
12/29/2021,15794.92
12/28/2021,15895.2
12/27/2021,15696.83
12/23/2021,15544.79
12/22/2021,15319.16
12/21/2021,15140.43
12/20/2021,14933
12/17/2021,15036.77
12/16/2021,15629.08
12/15/2021,15230.71
12/14/2021,15215.96
12/13/2021,15621.27
12/10/2021,15629.59
12/09/2021,15720.54
12/08/2021,15690.65
12/07/2021,15510.91
12/06/2021,15117.63
12/03/2021,15428.71
12/02/2021,15181.82
12/01/2021,15752.27
11/30/2021,15716.5
11/29/2021,15719.42
11/26/2021,15664.38
11/24/2021,15677.88
11/23/2021,15809.5
11/22/2021,16120.92
11/19/2021,16042.16
11/18/2021,15973.39
11/17/2021,15973.62
11/16/2021,15840.32
11/15/2021,15894.82
11/12/2021,15752.62
11/11/2021,15752.08
11/10/2021,15753.84
11/09/2021,16024.13
11/08/2021,15995.72
11/05/2021,16003.56
11/04/2021,15849.74
11/03/2021,15658.52
11/02/2021,15583.98
11/01/2021,15541.26
10/29/2021,15323.29
10/28/2021,15304.74
10/27/2021,15276
10/26/2021,15317.5
10/25/2021,15165.52
10/22/2021,15158.06
10/21/2021,15104.8
10/20/2021,15160
10/19/2021,15073.13
10/18/2021,14839.74
10/15/2021,14891.24
10/14/2021,14717.5
10/13/2021,14537.17
10/12/2021,14539.09
10/11/2021,14540.08
10/08/2021,14694.72
10/07/2021,14631.8
10/06/2021,14289.45
10/05/2021,14312.86
10/04/2021,14493.12
10/01/2021,14494.93
09/30/2021,14582.6
09/29/2021,14614.88
09/28/2021,14787.21
09/27/2021,14954.18
09/24/2021,14961.61
09/23/2021,14960
09/22/2021,14800.59
09/21/2021,14803.36
09/20/2021,14758.14
09/17/2021,15163.35
09/16/2021,15120.09
09/15/2021,15071.34
09/14/2021,15168.45
09/13/2021,15211.43
09/10/2021,15332.92
09/09/2021,15296.06
09/08/2021,15360.35
09/07/2021,15375.98
09/03/2021,15313.41
09/02/2021,15358.47
09/01/2021,15308.98
08/31/2021,15262.88
08/30/2021,15165.94
08/27/2021,14969.77
08/26/2021,15025.17
08/25/2021,15039.03
08/24/2021,14978.14
08/23/2021,14776.98
08/20/2021,14571.53
08/19/2021,14423.16
08/18/2021,14636.24
08/17/2021,14670.56
08/16/2021,14771.53
08/13/2021,14825.07
08/12/2021,14751.36
08/11/2021,14834.38
08/10/2021,14887.74
08/09/2021,14855.76
08/06/2021,14864.22
08/05/2021,14794.08
08/04/2021,14747.21
08/03/2021,14713.99
08/02/2021,14672.68
07/30/2021,14615.85
07/29/2021,14771.17
07/28/2021,14783.54
07/27/2021,14807.95
07/26/2021,14821.03
07/23/2021,14753.06
07/22/2021,14652.72
07/21/2021,14508.75
07/20/2021,14330.46
07/19/2021,14235.98
07/16/2021,14597.51
07/15/2021,14635.78
07/14/2021,14780.9
07/13/2021,14715.13
07/12/2021,14743.86
07/09/2021,14661.42
07/08/2021,14409.2
07/07/2021,14753.41
07/06/2021,14661.55
07/02/2021,14582.98
07/01/2021,14493.69
06/30/2021,14509.85
06/29/2021,14509.19
06/28/2021,14417.81
06/25/2021,14400.81
06/24/2021,14357.27
06/23/2021,14263.38
06/22/2021,14138.29
06/21/2021,14047.42
06/18/2021,14096.93
06/17/2021,13999.13
06/16/2021,14085.55
06/15/2021,14166.64
